id	text
"2"	"Watchdog Says Usps Violated This Major Law When Employees Did This Horrible  (pls RT↺❤️) ️️ https://t.co/HLHqtSXAhz #"
"3"	"@realDonaldTrump It's time to get rid of our Failing USPS ! https://t.co/H54lAw62Zq"
"4"	"You heard 'em! Don't forget to follow #FedExCares today for all your @DennyHamlin updates from @IMS! https://t.co/iGmFuDRJta"
"5"	"https://t.co/xoGhOiz3Zf #FedEx under pressure as #Boycott takes hold #NYSE #FDX Stop the #SharkFin Trade #OpFunKil"
"6"	"@AmazonHelp It was purchased Friday with the two-day shipping for Sunday but when I went to track it on the carrier… https://t.co/M9t3kOeayR"
"7"	"Breaking: USPS Broke The Law During 2016 Election - New Report https://t.co/b94HH1cb5U #YouTube #TheNextNewsNetwork"
"8"	"RT @FedEx: The #FedEx11 car’s design was the inspiration of 22-year #FedEx team member Rachee, an active #FedExCares supporter… "
"9"	"FedEx pisses me off so bad"
"10"	"Beans zine #2 hurray for Sunday mail delivery. Thank you USPS. @ Myosho-ji Buddhist Temple https://t.co/uwG5SFRoiO"
"11"	"RT @harjo111: @DonnaWR8 @DebAlwaystrump Apparently everyone interfered.  Obama, USPS, UKRAINE, ILLEGALS, DEAD PEOPLE.  yet with a… "
"12"	"RT @FedEx: ICYMI: We had 75 team members help us unveil @DennyHamlin’s special #FedEx Cares paint scheme on Friday. https://t.co/syFff2jUJu"
"14"	"@JosephDeGolyer Are you contracted out or are you a legit Fedex driver?"
"15"	"FedEx Warns #NotPetya Will Negatively Affect Profits https://t.co/0svZc46fwc Use next gen app whitelisting… https://t.co/4yuxu3lCY7"
"16"	"@rodneyhopper2 @lids @UPSHelp @UPS @USPS @USPSHelp Wow that sucks! 😕"
"17"	"@karriebabyy_ @amazon They better hope. Who delivers yours? USPS?"
"19"	"$300,000 donated by FEDEX of ATLANTA GA on 1/20/2017"
"20"	"I think everyone likes FedEx rather than UPS."
"21"	"@McDonalds @USPS @USPISRunning ...Yeah! I kicked out of my APT409 my Nephew ""Anthony Mosely"" on 01/20/16; and he ai… https://t.co/YnwClC9P23"
"22"	"@Priceorelli @JournalVelo No, it's like disproving the myth that Indurain's team were as dominant as Sky - fact is… https://t.co/1iprpuijmP"
"23"	"I guess this week decides if I am staying with Fedex or looking for a job with benefits. Cause I need new health insurance. And glasses lol"
"24"	"RT @HypocrisyHater1: @NBC @ABC @CBS @NPR #MSM you all missed a big story this week. #love how inept you are. https://t.co/q153IfzCYu #SatCh…"
"27"	"@sean_sheffy @himynameisRajan Now find out why the USPS cars have the steering wheel on the  passenger side"
"28"	"Taxpayers footed OT pay: Hillary’s ILLEGAL campaign...@USPS colluded w/union 2 violate Hatch Act...https://t.co/cfhe7q11ej @ReadTheHornNews"
"29"	"@AmazonHelp Thank you for contacting me, my actual name is Morgan. :) This time it was to be delivered by Usps."
"30"	"@Priceorelli @JournalVelo and constructed the team - Indurain, Hinault, Anquetil did their own work Froome and Sky… https://t.co/DCgHVFo2jd"
"31"	"@ohmy_dominique Have you had the chance to reach out to USPS about the delivery: https://t.co/CncSA9Kng5? ^VS"
"34"	"@FedEx @FedExHelp Your delivery person didn't show up at the door, but updated the status that customer not available."
"35"	"@LuLaRoe claims 14 days. They also throw @USPS under the bus bc LLR refuses to accept responsibility. Right,… https://t.co/QHKen8JcOk"
