Customer,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
FORD MOTOR,2179445.3,2451157.8,3065549.6,2143168.8,2802872.7,2361419.9,2229297.5,2220068,2157691.2,4138561.4,2208379.7,3462939.3
FORD MOTOR,2683531.2,3200224.3,3361681,3272825.3,2214082.7,2037433.5,2417451.7,1831213.1,1711370.3,2531806.2,1374825.4,1668364.5
FORD MOTOR,1687196.1,1504163.1,1957948.6,2146484.9,2003067.8,2179836.2,1652047.3,1651120.5,1912328.7,2005023.5,0,0
FORD MOTOR,1380127.8,1155731.9,1479899.9,1419183.8,1392073.2,1388426.7,1605150.5,1447924.2,1258202.1,1319266.3,1497892,1122182.7
FORD MOTOR,1138654.1,1370635.3,1515229.1,1565816.5,1491096,924647.8,2173256.2,1542600.6,1682383.1,1663275.4,1657623.3,1542581.3
FORD MOTOR,1761445.6,1570889.3,1849623.6,1909422.7,1558734.8,1413763.2,2380628.5,2539149.3,1373390.9,1669493.3,0,0
FORD MOTOR,369124.3,295684.9,330975,314178.3,314611.2,368548.2,333313.8,338516.9,331541.6,331099.7,340694.7,394858.1
FORD MOTOR,360092,328960.8,372498.1,370713.9,391739.3,462271.8,473425.5,399210.1,388075.8,390747.5,1068400.8,497291.1
FORD MOTOR,514358.3,516731.2,484476.6,477724.3,499135.8,531992.8,515987.8,579832.7,534646.3,533726.8,0,0
FORD MOTOR,52470.2,49675.7,56511.5,49960.7,49530.5,50172.4,47464.5,43569.5,58285.5,77610.5,47760.6,56147.5
FORD MOTOR,59769.3,68378,66859.8,62239.6,62050.3,69960.3,72610.3,45096.9,67807.7,61102,53771,55384.2
FORD MOTOR,60868.1,60778.6,70470.9,57829.2,64289.6,65416,62113.9,38879.6,67355.7,56798.7,0,0
FORD MOTOR,1182494.7,1260794.9,1254992.1,1439294.8,1475307.9,1367927.6,1336268,1413223.9,1414509.1,1713293.7,1647039.3,1516726.8
FORD MOTOR,1519831.1,1470624,1730205.6,2119680.4,1732720.1,1742645.4,1742751.6,1709522.8,1749014,1811177.9,1830917.8,1820371.4
FORD MOTOR,1692779.8,1678990,1758994.8,1686544.6,1851454.4,1993441,1771716.8,1864948.1,1927819.9,1816977.7,0,0
HEWLETT PACKARD,1678353.3,1409557.2,1487458,1597471.5,1564030.5,1408083.3,1600976,1503310,1551017.3,1894332,1279683.4,1417206.9
HEWLETT PACKARD,1340353.5,1097871.2,1206601.6,1279985.5,1119420.4,1138970.7,1228986.7,1078267.9,1182206.1,1286852.5,1076293,1175418.6
HEWLETT PACKARD,1059844.9,1058842,1266259.1,1093630.4,1080593.2,1079844.5,1209297.7,1001884.4,1101543.1,1144374.6,0,0
HEWLETT PACKARD,1698360.1,1523220.9,1843061.4,1805149.5,1582524.3,1567308.3,1744260.4,1960990.1,1992041.9,1917683.6,1553947.2,1807688.7
HEWLETT PACKARD,1575338.1,1709761.5,1663098.6,1684597.3,1659132.6,1727657.3,1520740.9,1660488.1,1472272.2,1444510.4,1344301.3,1277617.2
HEWLETT PACKARD,1159436.6,1249525.3,1254199.4,1298904.5,1324875.4,1275246.3,1396139.5,1144449.9,1196784.2,1202017,0,0
HEWLETT PACKARD,980259.1,769254.5,1137453.2,804627.9,1033101,962569.2,868123.6,876464.1,1162768.4,727615.2,1026210.2,1136848.9
HEWLETT PACKARD,761905.7,917443.4,1001819.6,865527.2,752660.8,945733.5,903459.5,875373.7,845946.5,996941.8,845187.3,984244.3
HEWLETT PACKARD,866381.1,853628.1,988320.4,981399.7,819074.7,887004.9,1038209.7,780039.2,903520.4,910079,0,0
