Customer,Country,KPI,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
FORD MOTOR,USA,DSO,2013,"
                66","
                72","
                68","
                69","
                68","
                63","
                64","
                65","
                70","
                69","
                71","
                72"
FORD MOTOR,USA,DSO,2014,"
                66","
                63","
                69","
                60","
                73","
                76","
                80","
                75","
                68","
                61","
                71","
                73"
FORD MOTOR,USA,DSO,2015,"
                65","
                55","
                65","
                60","
                64","
                59","
                72","
                75","
                81","
                68",,
FORD MOTOR,Brazil,DSO,2013,"
                29","
                26","
                26","
                27","
                30","
                39","
                24","
                38","
                27","
                18","
                31","
                39"
FORD MOTOR,Brazil,DSO,2014,"
                19","
                22","
                44","
                21","
                25","
                37","
                18","
                21","
                46","
                28","
                23","
                29"
FORD MOTOR,Brazil,DSO,2015,"
                23","
                52","
                22","
                27","
                28","
                17","
                20","
                19",,"
                13",,
FORD MOTOR,China,DSO,2013,"
                85","
                31","
                26","
                27","
                30","
                35","
                59","
                29","
                30","
                57","
                23","
                50"
FORD MOTOR,China,DSO,2014,"
                71","
                37","
                12","
                3","
                19","
                18","
                25","
                27","
                31","
                37",,"
                76"
FORD MOTOR,China,DSO,2015,"
                41","
                84","
                30","
                57","
                43","
                43","
                58","
                36","
                50","
                41",,
FORD MOTOR,Spain,DSO,2013,"
                49","
                82","
                59","
                62","
                65","
                56","
                86","
                98","
                113","
                66","
                50","
                50"
FORD MOTOR,Spain,DSO,2014,"
                71","
                64","
                70","
                62","
                69","
                59","
                65","
                51","
                48","
                57","
                53","
                53"
FORD MOTOR,Spain,DSO,2015,"
                66","
                66","
                74","
                57","
                73","
                77","
                79","
                80","
                77","
                83",,
FORD MOTOR,UK,DSO,2013,"
                28","
                25","
                31","
                28","
                30","
                30","
                30","
                31","
                30","
                36","
                29","
                27"
FORD MOTOR,UK,DSO,2014,"
                28","
                23","
                40","
                33","
                23","
                21","
                31","
                29","
                23","
                25","
                30","
                29"
FORD MOTOR,UK,DSO,2015,"
                27","
                26","
                22","
                25","
                25","
                26","
                29","
                21","
                21","
                26",,
HEWLETT PACKARD,USA,DSO,2013,"
                32","
                41","
                30","
                33","
                35","
                31","
                29","
                38","
                56","
                49","
                54","
                54"
HEWLETT PACKARD,USA,DSO,2014,"
                34","
                37","
                37","
                34","
                30","
                33","
                34","
                35","
                31","
                34","
                37","
                54"
HEWLETT PACKARD,USA,DSO,2015,"
                55","
                83","
                89","
                136","
                137","
                105","
                82","
                63","
                32","
                79",,
HEWLETT PACKARD,Brazil,DSO,2013,"
                33","
                51","
                57","
                72","
                71","
                57","
                55","
                51","
                46","
                59","
                48","
                67"
HEWLETT PACKARD,Brazil,DSO,2014,"
                51","
                64","
                55","
                56","
                59","
                52","
                51","
                59","
                51","
                49","
                40","
                43"
HEWLETT PACKARD,Brazil,DSO,2015,"
                41","
                41","
                39","
                37","
                41","
                37","
                36","
                30","
                31","
                51",,
HEWLETT PACKARD,China,DSO,2013,"
                57","
                63","
                54","
                59","
                71","
                78","
                72","
                75","
                76","
                64","
                49","
                64"
HEWLETT PACKARD,China,DSO,2014,"
                71","
                87","
                81","
                57","
                69","
                69","
                59","
                64","
                68","
                60","
                71","
                75"
HEWLETT PACKARD,China,DSO,2015,"
                85","
                78","
                65","
                59","
                57","
                68","
                77","
                50","
                67","
                77",,
HEWLETT PACKARD,Spain,DSO,2013,,,"
                90","
                49","
                67","
                56","
                63","
                63","
                58","
                64","
                62","
                63"
HEWLETT PACKARD,Spain,DSO,2014,"
                60","
                55","
                90","
                56","
                67","
                91","
                58","
                62","
                92","
                88","
                116","
                60"
HEWLETT PACKARD,Spain,DSO,2015,"
                67","
                25","
                30","
                76","
                70","
                66","
                54","
                70","
                75","
                76",,
HEWLETT PACKARD,UK,DSO,2013,"
                43","
                43","
                31","
                31","
                31","
                33","
                25","
                24","
                34","
                37","
                35","
                42"
HEWLETT PACKARD,UK,DSO,2014,"
                34","
                33","
                37","
                38","
                41","
                39","
                34","
                30","
                45","
                51","
                39","
                39"
