Customer,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
FORD MOTOR - USA - 2013,"70,490.10","192,888.50","356,072.70","105,259.00","105,718.70","174,456.80","133,378.10","90,281.20","64,697.50","611,103.80","246,297.60","364,730.50"
FORD MOTOR - USA - 2014,"10,315.40","183,764.10","234,929.20","183,268.20","142,736.30","151,087.80","148,531.90","101,632.30","140,950.30","117,388.30","85,706.80","178,674.20"
FORD MOTOR - USA - 2015,"125,854.80","140,734.00","126,612.70","308,838.80","59,315.90","178,350.10","112,811.80","78,003.40","85,553.30","124,870.40",0,0
FORD MOTOR - BRAZIL - 2013,"43,303.90","-52,065.10","225,698.00","239,324.50","117,844.20","196,204.90","195,788.00","218,452.10","48,061.10","-304,629.00","172,633.50","-274,439.30"
FORD MOTOR - BRAZIL - 2014,"-58,951.90",-199.9,"28,257.00","187,011.10","220,234.00","-452,249.40","-159,616.00","107,950.60","132,489.70","101,754.00","56,051.00","-21,900.10"
FORD MOTOR - BRAZIL - 2014,"276,501.10","31,010.10","300,233.30","320,037.50","123,614.80","29,860.80","685,184.90","75,783.60","46,079.30","-4,385,220.40",0,0
FORD MOTOR - CHINA - 2013,"51,486.70","15,967.80","40,109.80","32,186.90","35,418.20","44,783.80","18,243.00","37,964.00","24,961.30","21,877.70","33,304.20","19,677.30"
FORD MOTOR - CHINA - 2014,"39,912.10","18,338.60","21,939.30","19,282.00","23,120.60","53,713.30","17,061.80","22,828.20","15,267.90","14,998.50","590,555.70","-45,690.00"
FORD MOTOR - CHINA - 2015,"147,545.60","84,198.70","59,635.20","91,329.20","68,828.60","48,476.30","55,421.80","39,906.60","49,876.40","66,227.40",0,0
FORD MOTOR - SPAIN - 2013,"-1,351.90","1,859.80","6,094.10","-3,837.40","-3,479.60",-865.2,"2,874.70","-2,791.60",-712.5,"8,774.10","-6,710.90","4,727.50"
FORD MOTOR - SPAIN - 2014,-947.6,941.9,"4,350.80","3,048.30","2,617.30","3,970.30","9,548.10",-365.8,"3,361.80","5,185.70","4,466.40","1,096.80"
FORD MOTOR - SPAIN - 2015,"3,570.00","3,325.40","3,939.80","3,011.60","2,680.50","5,678.70","4,081.00","-1,627.60","5,831.60","3,036.50",0,0
FORD MOTOR - UK - 2013,"224,714.70","223,944.90","221,326.60","339,643.50","323,676.80","268,665.50","205,125.00","158,973.20","229,946.40","117,252.90","340,509.70","223,581.40"
FORD MOTOR - UK - 2014,"35,573.50","163,034.50","217,819.00","177,712.40","180,851.20","223,424.30","180,596.70","109,279.40","95,743.40","415,653.50","68,379.00","248,234.40"
FORD MOTOR - UK - 2015,"60,006.00","227,357.20","242,129.20","405,143.90","456,123.60","330,348.10","545,328.30","317,793.20","320,984.20","309,156.40",0,0
HEWLETT PACKARD - USA - 2013,"325,140.20","245,649.80","295,652.60","320,140.70","329,051.10","248,606.40","296,341.10","320,489.50","324,283.70","405,397.10","175,132.10","270,162.20"
HEWLETT PACKARD - USA - 2014,"64,699.00","119,526.80","108,791.20","189,982.50","145,165.30","124,580.60","146,809.50","110,860.20","131,479.50","153,044.40","153,309.60","137,228.40"
HEWLETT PACKARD - USA - 2015,"49,511.20","201,951.10","212,214.30","91,275.20","153,636.00","101,339.10","107,152.20","90,998.50","61,668.30","87,668.60",0,0
HEWLETT PACKARD - BRAZIL - 2013,"318,060.90","236,981.30","356,080.30","302,401.70","136,759.90","155,487.00","230,125.80","320,704.00","333,812.10","264,072.60","184,360.40","253,636.10"
HEWLETT PACKARD - BRAZIL - 2014,"194,008.40","125,929.80","96,572.50","134,729.90","148,522.90","225,847.00","119,522.00","194,516.50","52,783.20","91,366.20","122,600.90","-146,352.10"
HEWLETT PACKARD - BRAZIL - 2015,"66,029.10","19,611.40","11,985.10","107,067.00","133,075.70","20,137.40","170,860.90","81,120.80","70,124.20","129,207.60",0,0
HEWLETT PACKARD - CHINA - 2013,"6,348.80","-11,598.30","81,722.00",-500.8,"78,531.00","35,910.10","24,788.90","-229,419.50","122,757.40","17,762.60","228,684.80","115,874.00"
HEWLETT PACKARD - CHINA - 2014,"46,239.10","120,156.10","86,081.20","80,456.10","23,188.00","34,154.00","50,218.60","-1,333.20","-19,930.00","-14,152.00","13,838.20","35,511.80"
HEWLETT PACKARD - CHINA - 2015,"-15,081.80","4,708.00","46,106.20","36,616.20","2,078.10","5,350.90","93,998.80","27,460.00","32,578.30","30,908.20",0,0
HEWLETT PACKARD - SPAIN - 2013,0,0,857.3,646.3,752.6,"-23,950.10","1,960.30","26,135.70","1,845.60","1,422.60","1,170.90","1,426.70"
HEWLETT PACKARD - SPAIN - 2014,"1,114.20",294.3,289.3,380.4,990.2,-94.2,-398.9,507.1,255.6,240.5,"1,139.10",863.6
HEWLETT PACKARD - SPAIN - 2015,"1,259.50",229,196.2,"2,131.80",943.6,"1,602.10","1,037.10",817.4,"1,244.90",883.6,0,0
HEWLETT PACKARD - UK - 2013,"96,406.20","96,222.00","120,635.50","93,501.40","82,821.70","116,089.40","127,115.40","132,402.40","163,444.60","141,298.00","136,500.60","127,117.90"
HEWLETT PACKARD - UK - 2014,"137,070.70","107,048.10","183,284.80","101,666.10","123,555.20","210,869.00","104,774.30","101,127.70","111,022.70","113,121.50","106,682.40","84,375.70"
HEWLETT PACKARD - UK - 2015,"98,331.30","121,803.70","112,338.10","109,293.40","112,004.00","103,526.70","113,024.10","126,468.00","125,612.10","116,376.00",0,0
PEPSICO - USA - 2013,"165,222.10","1,176,345.20","-69,343.70","81,950.20","4,122.10","342,172.10","213,065.50","-215,703.00","18,189.80","15,424.10","18,270.60","44,471.80"
PEPSICO - USA - 2014,"99,742.90","150,008.40","82,522.10","136,971.00","102,172.10","419,467.00","64,820.70","309,396.50","84,688.00","99,282.70","12,278.50","119,457.10"
PEPSICO - USA - 2015,"35,007.30","55,083.00","77,383.80","35,475.90","378,399.70","13,475.70","-31,680.50","40,207.00","-11,190.10","16,251.50",0,0
PEPSICO - BRAZIL - 2013,"89,464.50","51,211.00","57,432.90","21,028.20","-111,543.60","-70,950.40","-11,172.30","-20,465.80","-7,265.00","36,507.10","33,606.50","14,547.00"
PEPSICO - BRAZIL - 2014,"-33,592.20","2,209.30","35,997.40","7,163.90","95,375.10","37,509.40","51,330.90","59,045.50","94,698.10","70,831.70","67,800.40","84,455.50"
