Customer,Country,KPI,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
FORD MOTOR,Brazil,Lost Time Injury Frequency Rate,2013,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.73%,0.00%,0.00%
HEWLETT PACKARD,Brazil,Lost Time Injury Frequency Rate,2013,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.54%,0.00%,0.00%,0.00%,0.00%,0.00%
PEPSICO,Brazil,Lost Time Injury Frequency Rate,2013,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,8.56%,0.00%,0.00%,0.00%,0.00%
PROCTER & GAMBLE,Brazil,Lost Time Injury Frequency Rate,2013,0.00%,0.00%,2.51%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.98%,0.00%,0.00%
UNILEVER,Brazil,Lost Time Injury Frequency Rate,2013,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
FORD MOTOR,China,Lost Time Injury Frequency Rate,2013,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
HEWLETT PACKARD,China,Lost Time Injury Frequency Rate,2013,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
UNILEVER,China,Lost Time Injury Frequency Rate,2013,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
PROCTER & GAMBLE,China,Lost Time Injury Frequency Rate,2013,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
PROCTER & GAMBLE,Spain,Lost Time Injury Frequency Rate,2013,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
UNILEVER,Spain,Lost Time Injury Frequency Rate,2013,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
FORD MOTOR,Spain,Lost Time Injury Frequency Rate,2013,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.73%,0.00%,0.00%
HEWLETT PACKARD,Spain,Lost Time Injury Frequency Rate,2013,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.54%,0.00%,0.00%,0.00%,0.00%,0.00%
PEPSICO,Spain,Lost Time Injury Frequency Rate,2013,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,8.56%,0.00%,0.00%,0.00%,0.00%
FORD MOTOR,UK,Lost Time Injury Frequency Rate,2013,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,8.56%,0.00%,0.00%,0.00%,0.00%
HEWLETT PACKARD,UK,Lost Time Injury Frequency Rate,2013,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
PEPSICO,UK,Lost Time Injury Frequency Rate,2013,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
PROCTER & GAMBLE,UK,Lost Time Injury Frequency Rate,2013,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
UNILEVER,UK,Lost Time Injury Frequency Rate,2013,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
