Customer,Country,KPI,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
FORD MOTOR,USA,On Time Delivery,2015,99.69,99.37,99.40,99.80,99.24,99.24,99.74,99.42,99.42,99.91,,
HEWLETT PACKARD,USA,On Time Delivery,2015,99.69,99.37,99.40,99.80,99.24,99.24,99.74,99.42,99.42,99.91,,
PEPSICO,USA,On Time Delivery,2015,99.69,99.37,99.40,99.80,99.24,99.24,99.74,99.42,99.42,99.91,,
PROCTER & GAMBLE,USA,On Time Delivery,2015,100.00,100.00,100.00,100.00,100.00,100.00,97.00,97.36,100.00,97.50,,
UNILEVER,USA,On Time Delivery,2015,100.00,100.00,100.00,100.00,100.00,100.00,97.00,97.36,100.00,97.50,,
FORD MOTOR,Brazil,On Time Shipping,2013,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
HEWLETT PACKARD,Brazil,On Time Shipping,2013,99.93,99.81,99.83,99.86,99.74,99.80,99.72,99.89,99.51,99.81,99.85,99.84
PEPSICO,Brazil,On Time Shipping,2013,100.00,99.20,89.08,99.03,99.49,95.31,79.94,99.80,98.97,99.21,96.05,97.13
PROCTER & GAMBLE,Brazil,On Time Shipping,2013,99.84,99.72,99.73,99.37,99.94,99.95,99.56,99.53,99.33,98.87,99.83,99.69
UNILEVER,Brazil,On Time Shipping,2013,100.00,100.00,99.98,99.98,100.00,100.00,99.94,100.00,100.00,100.00,100.00,100.00
FORD MOTOR,China,On Time Shipping,2013,100.00,100.00,100.00,99.98,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
HEWLETT PACKARD,China,On Time Shipping,2013,100.00,99.99,99.99,99.96,99.98,99.98,100.00,99.97,100.00,99.89,99.98,99.98
UNILEVER,China,On Time Shipping,2013,95.08,99.99,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
PROCTER & GAMBLE,China,On Time Shipping,2013,95.08,99.99,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
PROCTER & GAMBLE,Spain,On Time Shipping,2013,99.97,99.97,99.82,99.74,99.76,99.75,99.74,99.74,99.78,99.79,99.78,99.82
UNILEVER,Spain,On Time Shipping,2013,100.00,100.00,99.82,99.74,99.76,99.75,99.74,99.74,99.78,99.79,99.78,99.82
FORD MOTOR,Spain,On Time Shipping,2013,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
HEWLETT PACKARD,Spain,On Time Shipping,2013,99.93,99.81,99.83,99.86,99.74,99.80,99.72,99.89,99.51,99.81,99.85,99.84
PEPSICO,Spain,On Time Shipping,2013,100.00,99.20,89.08,99.03,99.49,95.31,79.94,99.80,98.97,99.21,96.05,97.13
FORD MOTOR,UK,On Time Shipping,2013,100.00,99.20,89.08,99.03,99.49,95.31,79.94,99.80,98.97,99.21,96.05,97.13
HEWLETT PACKARD,UK,On Time Shipping,2013,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
PEPSICO,UK,On Time Shipping,2013,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
PROCTER & GAMBLE,UK,On Time Shipping,2013,99.86,99.93,99.86,99.93,99.86,99.93,99.86,99.93,99.86,99.93,99.86,99.93
UNILEVER,UK,On Time Shipping,2013,99.99,100.00,99.98,99.98,100.00,100.00,99.94,100.00,100.00,100.00,100.00,100.00
FORD MOTOR,USA,On Time Shipping,2013,99.45,99.45,99.45,99.45,99.45,99.45,99.45,99.45,99.45,99.45,99.45,99.45
HEWLETT PACKARD,USA,On Time Shipping,2013,100.00,99.94,99.98,99.98,99.99,99.98,99.97,100.00,99.98,100.00,99.98,99.97
PEPSICO,USA,On Time Shipping,2013,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,99.87
PROCTER & GAMBLE,USA,On Time Shipping,2013,99.47,99.81,99.83,99.92,99.66,99.81,99.74,99.86,99.75,99.70,99.85,99.77
UNILEVER,USA,On Time Shipping,2013,99.61,99.51,99.85,99.27,99.49,99.27,99.70,99.53,99.63,99.47,99.86,99.88
FORD MOTOR,Brazil,On Time Shipping,2014,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
HEWLETT PACKARD,Brazil,On Time Shipping,2014,99.55,99.86,99.68,99.79,99.81,99.86,99.92,99.88,99.70,99.89,99.96,99.91
