Customer,Country,KPI,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
FORD MOTOR,USA,Third party trade receivables,2013," 5,714,904.8 "," 5,887,966.3 "," 6,506,337.2 "," 6,620,777.7 "," 6,585,224.5 "," 5,571,927.2 "," 5,668,432.3 "," 5,331,162.7 "," 5,538,682.4 "," 6,996,326.7 "," 7,300,317.4 "," 8,464,660.9 "
FORD MOTOR,USA,Third party trade receivables,2014," 6,597,870.7 "," 7,310,534.6 "," 7,898,097.3 "," 7,388,362.1 "," 7,833,672.1 "," 6,975,267.4 "," 6,402,299.8 "," 5,613,834.9 "," 4,897,059.3 "," 4,494,861.2 "," 4,895,466.1 "," 4,936,844.2 "
FORD MOTOR,USA,Third party trade receivables,2015," 3,717,782.2 "," 3,289,946.4 "," 4,090,722.6 "," 4,164,893.4 "," 4,708,880.6 "," 4,528,136.2 "," 5,094,523.0 "," 4,890,489.7 "," 5,053,638.8 "," 4,527,989.3 ", -   , -   
FORD MOTOR,Brazil,Third party trade receivables,2013," 1,462,229.3 "," 1,285,294.8 "," 1,373,305.8 "," 1,444,482.6 "," 1,648,700.6 "," 2,108,421.5 "," 1,317,054.4 "," 2,150,195.0 "," 1,453,418.2 "," 946,134.6 "," 1,649,345.7 "," 1,941,719.3 "
FORD MOTOR,Brazil,Third party trade receivables,2014," 922,928.5 "," 1,055,937.0 "," 2,281,686.9 "," 1,245,723.9 "," 1,482,482.2 "," 1,900,020.6 "," 1,025,758.0 "," 1,247,793.1 "," 3,155,824.8 "," 1,764,750.7 "," 1,495,836.3 "," 1,790,857.0 "
FORD MOTOR,Brazil,Third party trade receivables,2015," 1,481,510.4 "," 3,268,513.3 "," 1,472,048.4 "," 1,886,384.5 "," 1,912,986.9 "," 1,088,127.5 "," 1,389,035.9 "," 1,566,348.3 "," (387,156.9)"," 929,257.4 ", -   , -   
FORD MOTOR,China,Third party trade receivables,2013," 1,108,078.8 "," 392,249.3 "," 334,410.0 "," 333,421.0 "," 371,522.7 "," 451,109.1 "," 765,555.1 "," 390,282.7 "," 381,427.9 "," 732,071.2 "," 291,708.2 "," 681,975.7 "
FORD MOTOR,China,Third party trade receivables,2014," 988,662.2 "," 515,000.1 "," 164,271.6 "," 46,204.3 "," 275,600.8 "," 284,189.8 "," 423,260.5 "," 462,040.8 "," 496,736.7 "," 550,574.0 "," 4,487,594.9 "," 1,885,766.4 "
FORD MOTOR,China,Third party trade receivables,2015," 1,074,488.3 "," 1,650,775.4 "," 592,112.0 "," 1,098,332.6 "," 795,929.9 "," 830,069.8 "," 1,133,892.2 "," 740,960.1 "," 1,045,188.9 "," 866,419.4 ", -   , -   
FORD MOTOR,Spain,Third party trade receivables,2013," 88,719.6 "," 156,078.1 "," 126,651.2 "," 132,049.1 "," 134,336.6 "," 111,426.1 "," 166,544.4 "," 182,652.4 "," 222,376.3 "," 155,206.8 "," 122,729.4 "," 120,214.0 "
FORD MOTOR,Spain,Third party trade receivables,2014," 152,279.5 "," 158,074.8 "," 182,581.1 "," 165,443.4 "," 174,227.3 "," 152,241.7 "," 175,509.1 "," 127,069.0 "," 118,000.9 "," 130,514.0 "," 127,771.6 "," 119,516.2 "
FORD MOTOR,Spain,Third party trade receivables,2015," 147,947.0 "," 155,263.5 "," 189,537.0 "," 144,519.4 "," 184,240.0 "," 191,306.7 "," 198,968.0 "," 175,045.9 "," 170,816.3 "," 177,277.9 ", -   , -   
FORD MOTOR,UK,Third party trade receivables,2013," 1,332,286.3 "," 1,207,166.3 "," 1,536,658.9 "," 1,496,012.2 "," 1,633,019.2 "," 1,709,126.4 "," 1,621,572.8 "," 1,689,465.8 "," 1,629,640.5 "," 2,130,168.0 "," 1,826,081.6 "," 1,704,758.6 "
FORD MOTOR,UK,Third party trade receivables,2014," 1,716,814.0 "," 1,407,297.2 "," 2,529,618.5 "," 2,398,192.5 "," 1,656,833.8 "," 1,573,814.9 "," 2,096,053.7 "," 1,984,665.3 "," 1,562,608.5 "," 1,738,046.4 "," 2,098,516.7 "," 2,070,575.8 "
FORD MOTOR,UK,Third party trade receivables,2015," 1,861,940.8 "," 1,751,542.1 "," 1,508,325.7 "," 1,677,014.0 "," 1,723,855.8 "," 1,867,210.8 "," 2,149,398.0 "," 1,573,109.4 "," 1,528,312.6 "," 1,869,584.4 ", -   , -   
HEWLETT PACKARD,USA,Third party trade receivables,2013," 1,810,669.4 "," 2,313,872.9 "," 1,652,887.5 "," 1,845,021.5 "," 1,946,204.8 "," 1,717,469.1 "," 1,564,458.8 "," 2,067,905.9 "," 3,111,202.7 "," 2,893,147.3 "," 3,092,036.8 "," 2,976,521.7 "
HEWLETT PACKARD,USA,Third party trade receivables,2014," 1,644,649.2 "," 1,732,721.4 "," 1,644,530.6 "," 1,493,117.5 "," 1,300,379.3 "," 1,418,150.7 "," 1,425,554.7 "," 1,434,985.8 "," 1,283,963.7 "," 1,454,950.7 "," 1,574,490.4 "," 2,293,581.9 "
HEWLETT PACKARD,USA,Third party trade receivables,2015," 2,172,180.1 "," 3,305,170.0 "," 3,630,450.3 "," 5,688,907.4 "," 5,639,779.6 "," 4,123,391.6 "," 3,306,966.8 "," 2,476,723.6 "," 1,259,244.5 "," 3,063,206.4 ", -   , -   
HEWLETT PACKARD,Brazil,Third party trade receivables,2013," 1,968,329.1 "," 3,159,288.0 "," 3,728,417.5 "," 4,872,943.3 "," 4,724,423.7 "," 3,607,870.9 "," 3,452,347.9 "," 3,399,994.7 "," 3,337,850.7 "," 4,411,806.8 "," 3,359,805.5 "," 4,513,988.6 "
HEWLETT PACKARD,Brazil,Third party trade receivables,2014," 3,213,847.2 "," 4,257,538.8 "," 3,552,212.1 "," 3,702,772.9 "," 3,756,281.4 "," 3,391,749.3 "," 3,178,340.9 "," 3,693,267.4 "," 3,029,287.6 "," 2,844,929.5 "," 2,202,328.8 "," 2,241,449.5 "
HEWLETT PACKARD,Brazil,Third party trade receivables,2015," 1,967,121.3 "," 1,953,243.1 "," 1,848,579.7 "," 1,828,564.4 "," 2,019,328.5 "," 1,863,952.0 "," 1,810,419.4 "," 1,444,222.1 "," 1,474,153.3 "," 2,293,157.9 ", -   , -   
HEWLETT PACKARD,China,Third party trade receivables,2013," 2,402,444.8 "," 2,530,614.7 "," 2,035,260.4 "," 2,113,091.0 "," 2,668,826.5 "," 2,791,136.7 "," 2,625,115.7 "," 2,590,998.5 "," 2,805,442.2 "," 2,268,528.5 "," 1,833,036.4 "," 2,343,485.9 "
HEWLETT PACKARD,China,Third party trade receivables,2014," 2,633,452.8 "," 3,170,613.5 "," 2,832,564.3 "," 2,102,339.3 "," 2,284,815.5 "," 2,288,696.7 "," 1,939,342.9 "," 2,229,915.4 "," 2,262,071.5 "," 2,075,774.5 "," 2,444,538.9 "," 2,680,183.4 "
HEWLETT PACKARD,China,Third party trade receivables,2015," 2,915,579.4 "," 2,720,369.0 "," 2,278,903.3 "," 2,161,857.1 "," 2,031,549.5 "," 2,340,404.1 "," 2,690,502.0 "," 1,706,171.5 "," 2,323,020.9 "," 2,538,482.0 ", -   , -   
HEWLETT PACKARD,Spain,Third party trade receivables,2013, -   , -   ," 5,825.2 "," 5,825.2 "," 10,784.9 "," 8,121.8 "," 8,921.4 "," 8,867.9 "," 8,413.1 "," 8,958.0 "," 9,466.0 "," 10,087.5 "
HEWLETT PACKARD,Spain,Third party trade receivables,2014," 9,039.9 "," 8,083.1 "," 10,975.4 "," 7,232.5 "," 7,823.0 "," 10,833.8 "," 5,888.4 "," 6,241.8 "," 10,031.0 "," 10,591.4 "," 13,502.5 "," 7,360.1 "
HEWLETT PACKARD,Spain,Third party trade receivables,2015," 7,944.6 "," 3,030.1 "," 3,030.1 "," 8,600.0 "," 7,628.2 "," 8,265.8 "," 6,132.9 "," 8,296.4 "," 8,961.1 "," 9,101.3 ", -   , -   
HEWLETT PACKARD,UK,Third party trade receivables,2013," 764,602.8 "," 770,984.2 "," 609,331.9 "," 606,195.4 "," 570,096.9 "," 569,093.0 "," 430,237.3 "," 442,305.9 "," 646,631.6 "," 719,542.0 "," 720,853.8 "," 850,320.1 "
HEWLETT PACKARD,UK,Third party trade receivables,2014," 695,975.5 "," 651,409.7 "," 760,967.2 "," 774,541.8 "," 886,892.5 "," 890,649.3 "," 795,692.0 "," 668,376.0 "," 967,234.5 "," 1,081,150.0 "," 824,667.8 "," 728,872.2 "
HEWLETT PACKARD,UK,Third party trade receivables,2015," 799,884.4 "," 971,259.8 "," 669,014.5 "," 691,909.9 "," 533,427.1 "," 517,513.0 "," 691,505.7 "," 753,193.1 "," 592,481.7 "," 552,015.8 ", -   , -   
PEPSICO,USA,Third party trade receivables,2013," 356,826.7 "," 530,325.2 "," 533,929.8 "," 346,066.5 "," 429,545.9 "," 398,617.9 "," 258,268.2 "," 356,871.5 "," 249,743.4 "," 223,564.0 "," 162,065.3 "," 149,693.8 "
PEPSICO,USA,Third party trade receivables,2014," 284,248.0 "," 311,303.2 "," 571,491.8 "," 472,300.1 "," 437,215.4 "," 391,802.0 "," 348,256.5 "," 204,496.4 "," 160,596.7 "," 156,272.6 "," 96,010.8 "," 67,984.1 "
PEPSICO,USA,Third party trade receivables,2015," 290,196.0 "," 353,520.9 "," 439,787.0 "," 306,955.2 "," 281,851.9 "," 326,135.5 "," 239,228.4 "," 277,783.9 "," 138,055.9 "," 78,053.0 ", -   , -   
