Opp No,Opp Type,Status,Region,Country,BU,Sector,Customer Group,Customer,Product,Created,Cust Dec Date,Go Live Date,Date Exp Gain,Payment Terms,Contract Term,Milestone, Prob to win % ,BCA_Status,Ann Rev (—m),Ann GP (—m),Ann GP (‹m)
199060,1. New,4. Early Lead,Latin America,Brazil,CLA,Consumer,UNILEVER,Unilever,,15/04/2015,,,22/09/2017,,< 1 Year,Early Lead, -   ,, -   , -   , -   
224663,1. New,1. Gain,Latin America,Brazil,CLA,Consumer,PROCTER & GAMBLE,Procter & Gamble,Warehousing,26/10/2015,09/12/2015,03/10/2016,24/03/2016,35,1-2 Years,Customer commitment_ Move to gain,100,Approved,79.68,86.54,86.54
224709,2. Renewal,1. Gain,North America,USA,CLA,Consumer,PROCTER & GAMBLE,Procter & Gamble,Warehousing,28/10/2015,14/12/2015,01/11/2016,05/04/2016,15,2-3 Years,Customer commitment_ Move to gain,100,Approved,60.65,31.23,51.86
225808,2. Renewal,1. Gain,North America,USA,CLA,Consumer,PROCTER & GAMBLE,Procter & Gamble,Warehousing,18/11/2015,01/05/2015,01/07/2015,17/06/2016,75,2-3 Years,Customer commitment_ Move to gain,100,Approved,19.44,11.67,9.55
226704,2. Renewal,1. Gain,Latin America,Brazil,CLA,Consumer,UNILEVER,Unilever,Warehousing,07/01/2016,29/02/2016,01/01/2016,12/04/2016,90,< 1 Year,Customer commitment_ Move to gain,100,Approved,211.71,16.93,24.27
232419,1. New,3. Potential Opps,MLEMEA,Spain,Iberia,Consumer,PROCTER & GAMBLE,Procter & Gamble,,01/02/2016,30/03/2017,03/07/2017,30/03/2017,60,2-3 Years,Potential Opportunity,10,,100.08,10.08,10.08
232573,1. New,3. Potential Opps,MLEMEA,Spain,Iberia,Consumer,PROCTER & GAMBLE,Procter & Gamble,,03/02/2016,30/03/2017,03/07/2017,30/03/2017,60,2-3 Years,Potential Opportunity,10,,17.55,17.83,17.83
232574,1. New,3. Potential Opps,MLEMEA,Spain,Iberia,Life Sciences & Healthcare,PROCTER & GAMBLE,Procter & Gamble Pharmaceutical,,03/02/2016,30/03/2017,03/07/2017,30/03/2017,60,2-3 Years,Potential Opportunity,10,,117.22,11.38,11.38
232797,2. Renewal,2. Opportunity,Latin America,Brazil,CLA,Consumer,UNILEVER,Unilever,Warehousing,16/02/2016,30/11/2016,03/04/2017,31/03/2017,90,2-3 Years,Verbal Customer Commitment Received,85,Awaiting Approval,177.71,13.76,8.02
232798,2. Renewal,2. Opportunity,Latin America,Brazil,CLA,Consumer,UNILEVER,Unilever,Warehousing,16/02/2016,10/03/2017,01/04/2017,30/03/2017,90,< 1 Year,Proposal and solution fit presented,85,,126.14,98.23,0
234652,2. Renewal,2. Opportunity,UK & IRELAND,UK,C&EM,Consumer,UNILEVER,Unilever,Packaging Services,27/02/2016,15/04/2017,01/08/2017,01/06/2017,60,< 1 Year,Qualified and signed off by Sponsor,85,Approved,45.11,31.93,24.28
240975,2. Renewal,2. Opportunity,UK & IRELAND,UK,C&EM,Consumer,UNILEVER,Unilever,Warehousing,12/03/2016,09/03/2017,01/03/2018,13/04/2017,60,3-5 Years,Qualified and signed off by Sponsor,85,,42.39,51.86,55.4
241002,2. Renewal,2. Opportunity,Greater China,China,China,Consumer,UNILEVER,Unilever,Managed Ground Transport,12/03/2016,31/12/2016,01/01/2017,31/12/2016,70,< 1 Year,Qualified and signed off by Sponsor,85,Approved,42.74,31.61,31.13
241250,2. Renewal,2. Opportunity,Latin America,Brazil,CLA,Consumer,UNILEVER,Unilever,Packaging Services,21/03/2016,10/03/2017,02/05/2017,07/04/2017,50,2-3 Years,Proposal (incl. COO & COS) signed off,85,,122.65,9.55,15.7
241313,2. Renewal,1. Gain,North America,USA,CLA,Technology,HEWLETT PACKARD ENTERPRISE,Hewlett Packard Enterprise,Inbound-to-Manufacturing (I2M),23/03/2016,13/05/2016,31/05/2016,31/05/2016,60,< 1 Year,Customer commitment_ Move to gain,100,Approved,215.87,13.37,11.67
243555,2. Renewal,1. Gain,UK & IRELAND,UK,C&EM,Consumer,PEPSICO,PepsiCo,Warehousing,08/04/2016,26/05/2016,01/07/2016,19/09/2016,60,1-2 Years,Contract Signed,100,Approved,40.78,22.99,31.93
244309,1. New,1. Gain,Latin America,Brazil,CLA,Consumer,PROCTER & GAMBLE,Procter & Gamble,Inbound-to-Manufacturing (I2M),13/04/2016,10/08/2016,17/11/2016,04/10/2016,35,2-3 Years,Customer commitment_ Move to gain,100,Approved,39.49,3.06,3.06
