Customer,Country,KPI,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
FORD MOTOR,Brazil,Inventory Location Accuracy,2013,99.01,99.73,99.32,99.41,99.46,99.41,99.68,99.55,99.82,99.67,99.67,99.67
HEWLETT PACKARD,Brazil,Inventory Location Accuracy,2013,99.75,99.76,99.66,99.66,99.59,99.78,99.78,99.84,99.84,99.57,99.67,99.68
PEPSICO,Brazil,Inventory Location Accuracy,2013,100,100,99.79,99.5,99.32,99.21,98.64,99.78,99.84,99.77,99.95,99.86
PROCTER & GAMBLE,Brazil,Inventory Location Accuracy,2013,99.66,99.8,99.78,99.32,99.41,98.93,99.73,99.37,99.42,99.28,99.24,99.34
UNILEVER,Brazil,Inventory Location Accuracy,2013,99.86,99.87,99.84,99.81,99.79,99.85,99.79,99.93,99.77,99.78,99.62,99.67
FORD MOTOR,China,Inventory Location Accuracy,2013,99.84,99.81,99.89,99.84,99.78,99.79,99.86,99.89,99.77,99.85,99.74,99.9
HEWLETT PACKARD,China,Inventory Location Accuracy,2013,99.99,99.99,99.99,100,99.99,100,99.99,99.99,99.98,100,100,100
UNILEVER,China,Inventory Location Accuracy,2013,98.17,98.69,99.85,99.99,99.98,99.99,100,99.99,100,100,100,100
PROCTER & GAMBLE,China,Inventory Location Accuracy,2013,98.17,98.69,99.85,99.99,99.98,99.99,100,99.99,100,100,100,100
PROCTER & GAMBLE,Spain,Inventory Location Accuracy,2013,99.76,99.76,99.82,99.74,99.76,99.75,99.74,99.74,99.78,99.79,99.78,99.82
UNILEVER,Spain,Inventory Location Accuracy,2013,97.44,97.75,98.42,97.96,96.95,97.29,97.88,97.7,96.68,96.7,96.71,98.23
FORD MOTOR,Spain,Inventory Location Accuracy,2013,99.01,99.73,99.32,99.41,99.46,99.41,99.68,99.55,99.82,99.67,99.67,99.67
HEWLETT PACKARD,Spain,Inventory Location Accuracy,2013,99.75,99.76,99.66,99.66,99.59,99.78,99.78,99.84,99.84,99.57,99.67,99.68
PEPSICO,Spain,Inventory Location Accuracy,2013,100,100,99.79,99.5,99.32,99.21,98.64,99.78,99.84,99.77,99.95,99.86
FORD MOTOR,UK,Inventory Location Accuracy,2013,100,100,99.79,99.5,99.32,99.21,98.64,99.78,99.84,99.77,99.95,99.86
HEWLETT PACKARD,UK,Inventory Location Accuracy,2013,100,100,100,100,99.98,100,99.99,100,100,100,100,100
PEPSICO,UK,Inventory Location Accuracy,2013,99.91,100,100,99.96,99.97,99.93,99.99,99.94,99.97,99.92,99.95,99.85
PROCTER & GAMBLE,UK,Inventory Location Accuracy,2013,99.57,99.14,99.42,99.28,99.33,99.09,99.15,99.06,99.31,99.26,99.13,98.74
UNILEVER,UK,Inventory Location Accuracy,2013,99.38,99.43,99.31,98.89,98.67,98.46,98.23,98.02,99.18,97.68,97.36,97
FORD MOTOR,USA,Inventory Location Accuracy,2013,98.16,98.16,98.16,98.16,98.16,98.16,98.16,98.16,98.16,98.16,98.16,98.16
HEWLETT PACKARD,USA,Inventory Location Accuracy,2013,99.78,99.9,99.84,99.87,99.81,99.66,99.55,99.79,99.72,99.73,99.73,99.57
PEPSICO,USA,Inventory Location Accuracy,2013,100,100,100,100,100,100,100,100,100,99.65,99.74,99.83
PROCTER & GAMBLE,USA,Inventory Location Accuracy,2013,99.57,99.64,99.62,99.62,99.59,99.62,97.8,99.65,99.59,99.65,99.6,99.67
