Customer,Country,KPI,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
FORD MOTOR,Brazil,On Time Delivery,2013,95.45,95.26,98.01,95.95,94.30,94.89,97.05,98.13,98.01,98.01,97.71,96.09
HEWLETT PACKARD,Brazil,On Time Delivery,2013,95.45,95.26,98.01,95.95,94.30,94.89,97.05,98.13,98.01,98.01,97.71,96.09
PEPSICO,Brazil,On Time Delivery,2013,95.45,95.26,98.01,95.95,94.30,94.89,97.05,98.13,98.01,98.01,97.71,96.09
PROCTER & GAMBLE,Brazil,On Time Delivery,2013,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
UNILEVER,Brazil,On Time Delivery,2013,100.00,100.00,99.40,99.25,100.00,99.41,99.21,99.28,99.27,98.62,97.92,99.47
FORD MOTOR,China,On Time Delivery,2013,100.00,100.00,99.40,99.25,100.00,99.41,99.21,99.28,99.27,98.62,97.92,99.47
HEWLETT PACKARD,China,On Time Delivery,2013,100.00,100.00,99.40,99.25,100.00,99.41,99.21,99.28,99.27,98.62,97.92,99.47
UNILEVER,China,On Time Delivery,2013,100.00,100.00,99.40,99.25,100.00,99.41,99.21,99.28,99.27,98.62,97.92,99.47
PROCTER & GAMBLE,China,On Time Delivery,2013,100.00,100.00,99.40,99.25,100.00,99.41,99.21,99.28,99.27,98.62,97.92,99.47
PROCTER & GAMBLE,Spain,On Time Delivery,2013,100.00,100.00,99.40,99.25,100.00,99.41,99.21,99.28,99.27,98.62,97.92,99.47
UNILEVER,Spain,On Time Delivery,2013,99.23,98.48,99.82,99.74,99.76,99.75,99.74,99.74,99.78,99.79,99.78,99.82
FORD MOTOR,Spain,On Time Delivery,2013,95.45,95.26,98.01,95.95,94.30,94.89,97.05,98.13,98.01,98.01,97.71,96.09
HEWLETT PACKARD,Spain,On Time Delivery,2013,95.45,95.26,98.01,95.95,94.30,94.89,97.05,98.13,98.01,98.01,97.71,96.09
PEPSICO,Spain,On Time Delivery,2013,95.45,95.26,98.01,95.95,94.30,94.89,97.05,98.13,98.01,98.01,97.71,96.09
FORD MOTOR,UK,On Time Delivery,2013,95.45,95.26,98.01,95.95,94.30,94.89,97.05,98.13,98.01,98.01,97.71,96.09
HEWLETT PACKARD,UK,On Time Delivery,2013,100.00,100.00,99.40,99.25,100.00,99.41,99.21,99.28,99.27,98.62,97.92,99.47
PEPSICO,UK,On Time Delivery,2013,100.00,100.00,99.40,99.25,100.00,99.41,99.21,99.28,99.27,98.62,97.92,99.47
PROCTER & GAMBLE,UK,On Time Delivery,2013,100.00,100.00,99.40,99.25,100.00,99.41,99.21,99.28,99.27,98.62,97.92,99.47
UNILEVER,UK,On Time Delivery,2013,100.00,100.00,99.40,99.25,100.00,99.41,99.21,99.28,99.27,98.62,97.92,99.47
FORD MOTOR,USA,On Time Delivery,2013,99.45,99.45,99.45,99.45,99.45,99.45,99.45,99.45,99.45,99.45,99.45,99.45
HEWLETT PACKARD,USA,On Time Delivery,2013,99.45,99.45,99.45,99.45,99.45,99.45,99.45,99.45,99.45,99.45,99.45,99.45
PEPSICO,USA,On Time Delivery,2013,99.45,99.45,99.45,99.45,99.45,99.45,99.45,99.45,99.45,99.45,99.45,99.45
PROCTER & GAMBLE,USA,On Time Delivery,2013,97.47,96.74,98.18,98.19,97.00,96.85,97.80,97.56,97.29,98.57,97.87,96.15
UNILEVER,USA,On Time Delivery,2013,97.47,96.74,98.18,98.19,97.00,96.85,97.80,97.56,97.29,98.57,97.87,96.15
FORD MOTOR,Brazil,On Time Delivery,2014,91.33,93.03,88.38,88.89,87.93,91.55,92.30,92.67,95.69,89.40,95.08,88.52
HEWLETT PACKARD,Brazil,On Time Delivery,2014,91.33,93.03,88.38,88.89,87.93,91.55,92.30,92.67,95.69,89.40,95.08,88.52
PEPSICO,Brazil,On Time Delivery,2014,91.33,93.03,88.38,88.89,87.93,91.55,92.30,92.67,95.69,89.40,95.08,88.52
PROCTER & GAMBLE,Brazil,On Time Delivery,2014,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
UNILEVER,Brazil,On Time Delivery,2014,99.51,99.60,98.96,99.29,99.03,99.32,100.00,100.00,100.00,98.55,100.00,95.72
FORD MOTOR,China,On Time Delivery,2014,99.51,99.60,98.96,99.29,99.03,99.32,100.00,100.00,100.00,98.55,100.00,95.72
HEWLETT PACKARD,China,On Time Delivery,2014,99.51,99.60,98.96,99.29,99.03,99.32,100.00,100.00,100.00,98.55,100.00,95.72
UNILEVER,China,On Time Delivery,2014,99.51,99.60,98.96,99.29,99.03,99.32,100.00,100.00,100.00,98.55,100.00,95.72
PEPSICO,China,On Time Delivery,2014,99.51,99.60,98.96,99.29,99.03,99.32,100.00,100.00,100.00,98.55,100.00,95.72
PROCTER & GAMBLE,China,On Time Delivery,2014,99.51,99.60,98.96,99.29,99.03,99.32,100.00,100.00,100.00,98.55,100.00,95.72
PROCTER & GAMBLE,Spain,On Time Delivery,2014,99.51,99.60,98.96,99.29,99.03,99.32,100.00,100.00,100.00,98.55,100.00,95.72
UNILEVER,Spain,On Time Delivery,2014,99.86,99.98,99.78,99.82,99.96,100.00,100.00,99.87,99.84,99.98,100.00,100.00
FORD MOTOR,Spain,On Time Delivery,2014,91.33,93.03,88.38,88.89,87.93,91.55,92.30,92.67,95.69,89.40,95.08,88.52
HEWLETT PACKARD,Spain,On Time Delivery,2014,91.33,93.03,88.38,88.89,87.93,91.55,92.30,92.67,95.69,89.40,95.08,88.52
PEPSICO,Spain,On Time Delivery,2014,91.33,93.03,88.38,88.89,87.93,91.55,92.30,92.67,95.69,89.40,95.08,88.52
FORD MOTOR,UK,On Time Delivery,2014,91.33,93.03,88.38,88.89,87.93,91.55,92.30,92.67,95.69,89.40,95.08,88.52
HEWLETT PACKARD,UK,On Time Delivery,2014,99.51,99.60,98.96,99.29,99.03,99.32,100.00,100.00,100.00,98.55,100.00,95.72
PEPSICO,UK,On Time Delivery,2014,99.51,99.60,98.96,99.29,99.03,99.32,100.00,100.00,100.00,98.55,100.00,95.72
PROCTER & GAMBLE,UK,On Time Delivery,2014,99.51,99.60,98.96,99.29,99.03,99.32,100.00,100.00,100.00,98.55,100.00,95.72
UNILEVER,UK,On Time Delivery,2014,99.51,99.60,98.96,99.29,99.03,99.32,100.00,100.00,100.00,98.55,100.00,95.72
FORD MOTOR,USA,On Time Delivery,2014,99.45,99.45,98.69,99.80,99.80,99.74,100.00,100.00,99.82,99.84,99.45,99.80
HEWLETT PACKARD,USA,On Time Delivery,2014,99.45,99.45,98.69,99.80,99.80,99.74,100.00,100.00,99.82,99.84,99.45,99.80
PEPSICO,USA,On Time Delivery,2014,99.45,99.45,98.69,99.80,99.80,99.74,100.00,100.00,99.82,99.84,99.45,99.80
PROCTER & GAMBLE,USA,On Time Delivery,2014,97.04,97.20,94.50,97.49,95.27,96.07,95.39,95.78,96.64,97.48,100.00,100.00
UNILEVER,USA,On Time Delivery,2014,97.04,97.20,94.50,97.49,95.27,96.07,95.39,95.78,96.64,97.48,100.00,100.00
FORD MOTOR,Brazil,On Time Delivery,2015,93.53,97.80,98.42,98.30,98.05,98.05,96.56,94.66,91.52,97.64,,
HEWLETT PACKARD,Brazil,On Time Delivery,2015,93.53,97.80,98.42,98.30,98.05,98.05,96.56,94.66,91.52,97.64,,
PEPSICO,Brazil,On Time Delivery,2015,93.53,97.80,98.42,98.30,98.05,98.05,96.56,94.66,91.52,97.64,,
PROCTER & GAMBLE,Brazil,On Time Delivery,2015,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,,
UNILEVER,Brazil,On Time Delivery,2015,96.63,96.63,92.61,98.64,99.69,99.69,98.65,99.10,99.28,98.63,,
FORD MOTOR,China,On Time Delivery,2015,96.63,96.63,92.61,98.64,99.69,99.69,98.65,99.10,99.28,98.63,,
HEWLETT PACKARD,China,On Time Delivery,2015,96.63,96.63,92.61,98.64,99.69,99.69,98.65,99.10,99.28,98.63,,
UNILEVER,China,On Time Delivery,2015,96.63,96.63,92.61,98.64,99.69,99.69,98.65,99.10,99.28,98.63,,
PEPSICO,China,On Time Delivery,2015,96.63,96.63,92.61,98.64,99.69,99.69,98.65,99.10,99.28,98.63,,
PROCTER & GAMBLE,China,On Time Delivery,2015,96.63,96.63,92.61,98.64,99.69,99.69,98.65,99.10,99.28,98.63,,
PROCTER & GAMBLE,Spain,On Time Delivery,2015,96.63,96.63,92.61,98.64,99.69,99.69,98.65,99.10,99.28,98.63,,
UNILEVER,Spain,On Time Delivery,2015,100.00,99.79,99.95,99.94,99.90,100.00,99.93,100.00,99.94,99.80,,
FORD MOTOR,Spain,On Time Delivery,2015,93.53,97.80,98.42,98.30,98.05,98.05,96.56,94.66,91.52,97.64,,
HEWLETT PACKARD,Spain,On Time Delivery,2015,93.53,97.80,98.42,98.30,98.05,98.05,96.56,94.66,91.52,97.64,,
PEPSICO,Spain,On Time Delivery,2015,93.53,97.80,98.42,98.30,98.05,98.05,96.56,94.66,91.52,97.64,,
FORD MOTOR,UK,On Time Delivery,2015,93.53,97.80,98.42,98.30,98.05,98.05,96.56,94.66,91.52,97.64,,
HEWLETT PACKARD,UK,On Time Delivery,2015,96.63,96.63,92.61,98.64,99.69,99.69,98.65,99.10,99.28,98.63,,
PEPSICO,UK,On Time Delivery,2015,96.63,96.63,92.61,98.64,99.69,99.69,98.65,99.10,99.28,98.63,,
