Customer,Country,KPI,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
FORD MOTOR,Brazil,Shipping Accuracy,2013,99.68,99.59,99.43,99.62,99.67,99.75,99.83,99.81,99.24,99.61,99.68,99.68
HEWLETT PACKARD,Brazil,Shipping Accuracy,2013,99.97,99.95,99.96,99.95,99.96,100.00,100.00,99.96,99.99,99.97,99.99,99.97
PEPSICO,Brazil,Shipping Accuracy,2013,99.87,100.00,74.62,84.24,87.66,96.17,94.83,94.53,84.35,98.61,99.47,99.41
PROCTER & GAMBLE,Brazil,Shipping Accuracy,2013,99.91,99.83,99.88,99.91,99.93,99.95,99.99,99.98,99.93,99.98,99.99,99.98
UNILEVER,Brazil,Shipping Accuracy,2013,99.90,99.85,99.91,99.94,99.92,99.86,99.91,99.96,99.90,99.79,99.80,99.86
FORD MOTOR,China,Shipping Accuracy,2013,99.98,99.99,99.99,99.99,100.00,99.98,100.00,100.00,99.99,100.00,100.00,99.99
HEWLETT PACKARD,China,Shipping Accuracy,2013,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
UNILEVER,China,Shipping Accuracy,2013,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
PROCTER & GAMBLE,China,Shipping Accuracy,2013,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
PROCTER & GAMBLE,Spain,Shipping Accuracy,2013,99.74,99.91,99.82,99.74,99.76,99.75,99.74,99.74,99.78,99.79,99.78,99.82
UNILEVER,Spain,Shipping Accuracy,2013,96.66,96.30,99.82,99.74,99.76,99.75,99.74,99.74,99.78,99.79,99.78,99.82
FORD MOTOR,Spain,Shipping Accuracy,2013,99.68,99.59,99.43,99.62,99.67,99.75,99.83,99.81,99.24,99.61,99.68,99.68
HEWLETT PACKARD,Spain,Shipping Accuracy,2013,99.97,99.95,99.96,99.95,99.96,100.00,100.00,99.96,99.99,99.97,99.99,99.97
PEPSICO,Spain,Shipping Accuracy,2013,99.87,100.00,74.62,84.24,87.66,96.17,94.83,94.53,84.35,98.61,99.47,99.41
FORD MOTOR,UK,Shipping Accuracy,2013,99.87,100.00,74.62,84.24,87.66,96.17,94.83,94.53,84.35,98.61,99.47,99.41
HEWLETT PACKARD,UK,Shipping Accuracy,2013,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
PEPSICO,UK,Shipping Accuracy,2013,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
PROCTER & GAMBLE,UK,Shipping Accuracy,2013,99.99,100.00,99.99,100.00,99.99,100.00,99.99,100.00,99.99,100.00,99.99,100.00
UNILEVER,UK,Shipping Accuracy,2013,99.97,99.96,99.91,99.94,99.92,99.86,99.91,99.96,99.90,99.79,99.80,99.86
FORD MOTOR,USA,Shipping Accuracy,2013,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
HEWLETT PACKARD,USA,Shipping Accuracy,2013,99.97,99.93,99.96,99.97,99.98,100.00,99.97,99.97,99.95,99.95,99.94,99.92
PEPSICO,USA,Shipping Accuracy,2013,99.87,100.00,99.87,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
PROCTER & GAMBLE,USA,Shipping Accuracy,2013,100.00,99.99,99.98,100.00,99.99,100.00,100.00,100.00,100.00,100.00,100.00,100.00
UNILEVER,USA,Shipping Accuracy,2013,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
FORD MOTOR,Brazil,Shipping Accuracy,2014,99.68,99.68,99.68,99.68,99.68,99.68,99.68,99.68,99.68,99.68,99.68,99.68
HEWLETT PACKARD,Brazil,Shipping Accuracy,2014,99.98,99.99,99.98,99.96,99.99,99.99,99.99,100.00,99.99,100.00,99.99,99.99
PEPSICO,Brazil,Shipping Accuracy,2014,99.35,99.54,99.68,100.00,99.64,100.00,100.00,100.00,99.78,99.69,100.00,100.00
PROCTER & GAMBLE,Brazil,Shipping Accuracy,2014,99.92,99.93,99.95,99.93,99.96,99.99,99.94,99.92,99.95,99.96,99.96,99.96
UNILEVER,Brazil,Shipping Accuracy,2014,99.83,99.86,99.93,99.89,99.91,99.91,99.94,99.96,99.93,99.94,99.92,99.91
FORD MOTOR,China,Shipping Accuracy,2014,99.99,99.99,100.00,99.98,99.98,100.00,99.97,99.99,100.00,100.00,100.00,100.00
HEWLETT PACKARD,China,Shipping Accuracy,2014,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
UNILEVER,China,Shipping Accuracy,2014,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
PEPSICO,China,Shipping Accuracy,2014,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
PROCTER & GAMBLE,China,Shipping Accuracy,2014,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
PROCTER & GAMBLE,Spain,Shipping Accuracy,2014,99.86,99.98,99.78,99.82,99.96,100.00,100.00,99.87,99.84,99.98,100.00,100.00
UNILEVER,Spain,Shipping Accuracy,2014,99.86,99.98,99.78,99.82,99.96,100.00,100.00,99.87,99.84,99.98,100.00,100.00
FORD MOTOR,Spain,Shipping Accuracy,2014,99.68,99.68,99.68,99.68,99.68,99.68,99.68,99.68,99.68,99.68,99.68,99.68
HEWLETT PACKARD,Spain,Shipping Accuracy,2014,99.98,99.99,99.98,99.96,99.99,99.99,99.99,100.00,99.99,100.00,99.99,99.99
PEPSICO,Spain,Shipping Accuracy,2014,99.35,99.54,99.68,100.00,99.64,100.00,100.00,100.00,99.78,99.69,100.00,100.00
FORD MOTOR,UK,Shipping Accuracy,2014,99.35,99.54,99.68,100.00,99.64,100.00,100.00,100.00,99.78,99.69,100.00,100.00
HEWLETT PACKARD,UK,Shipping Accuracy,2014,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
PEPSICO,UK,Shipping Accuracy,2014,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
PROCTER & GAMBLE,UK,Shipping Accuracy,2014,99.99,100.00,99.99,100.00,99.99,100.00,99.99,100.00,99.99,100.00,99.99,100.00
UNILEVER,UK,Shipping Accuracy,2014,99.83,99.86,99.93,99.89,99.91,99.91,99.94,99.96,99.93,99.94,99.92,99.91
FORD MOTOR,USA,Shipping Accuracy,2014,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
HEWLETT PACKARD,USA,Shipping Accuracy,2014,99.89,99.97,99.93,99.95,99.99,99.95,99.94,99.93,100.00,100.00,100.00,100.00
PEPSICO,USA,Shipping Accuracy,2014,100.00,100.00,100.00,99.89,100.00,100.00,100.00,100.00,100.00,99.78,100.00,99.89
PROCTER & GAMBLE,USA,Shipping Accuracy,2014,100.00,100.00,100.00,100.00,100.00,100.00,99.99,100.00,100.00,100.00,99.98,99.99
UNILEVER,USA,Shipping Accuracy,2014,100.00,100.00,100.00,100.00,100.00,100.00,99.98,99.94,100.00,99.71,99.99,100.00
FORD MOTOR,Brazil,Shipping Accuracy,2015,99.68,99.68,99.68,99.68,99.68,99.68,99.68,99.68,99.68,99.68,,
HEWLETT PACKARD,Brazil,Shipping Accuracy,2015,99.98,100.00,99.99,99.98,99.97,99.99,99.95,100.00,99.97,99.99,,
PEPSICO,Brazil,Shipping Accuracy,2015,100.00,100.00,100.00,99.60,100.00,100.00,99.88,100.00,99.89,100.00,,
PROCTER & GAMBLE,Brazil,Shipping Accuracy,2015,99.99,99.90,99.92,99.95,99.94,99.94,99.89,99.92,99.91,99.89,,
UNILEVER,Brazil,Shipping Accuracy,2015,99.96,99.96,99.99,99.98,99.99,99.96,99.98,100.00,100.00,100.00,,
FORD MOTOR,China,Shipping Accuracy,2015,100.00,100.00,100.00,100.00,100.00,99.98,100.00,99.99,100.00,100.00,,
HEWLETT PACKARD,China,Shipping Accuracy,2015,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,,
UNILEVER,China,Shipping Accuracy,2015,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,,
PEPSICO,China,Shipping Accuracy,2015,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,,
PROCTER & GAMBLE,China,Shipping Accuracy,2015,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,,
PROCTER & GAMBLE,Spain,Shipping Accuracy,2015,100.00,99.79,99.95,99.94,99.90,100.00,99.93,100.00,99.94,99.80,,
UNILEVER,Spain,Shipping Accuracy,2015,100.00,99.79,99.95,99.94,99.90,100.00,99.93,100.00,99.94,99.80,,
FORD MOTOR,Spain,Shipping Accuracy,2015,99.68,99.68,99.68,99.68,99.68,99.68,99.68,99.68,99.68,99.68,,
HEWLETT PACKARD,Spain,Shipping Accuracy,2015,99.98,100.00,99.99,99.98,99.97,99.99,99.95,100.00,99.97,99.99,,
PEPSICO,Spain,Shipping Accuracy,2015,100.00,100.00,100.00,99.60,100.00,100.00,99.88,100.00,99.89,100.00,,
FORD MOTOR,UK,Shipping Accuracy,2015,100.00,100.00,100.00,99.60,100.00,100.00,99.88,100.00,99.89,100.00,,
HEWLETT PACKARD,UK,Shipping Accuracy,2015,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,,
PEPSICO,UK,Shipping Accuracy,2015,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,,
PROCTER & GAMBLE,UK,Shipping Accuracy,2015,99.99,100.00,99.99,100.00,99.99,100.00,99.99,100.00,99.99,100.00,,
UNILEVER,UK,Shipping Accuracy,2015,99.96,99.96,99.99,99.98,99.99,99.96,99.98,100.00,100.00,100.00,,
FORD MOTOR,USA,Shipping Accuracy,2015,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,,
HEWLETT PACKARD,USA,Shipping Accuracy,2015,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,94.03,100.00,,
PEPSICO,USA,Shipping Accuracy,2015,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,99.82,100.00,,
PROCTER & GAMBLE,USA,Shipping Accuracy,2015,100.00,99.99,100.00,99.93,99.94,99.95,99.99,100.00,100.00,100.00,,
UNILEVER,USA,Shipping Accuracy,2015,100.00,99.77,99.98,100.00,100.00,99.98,99.96,99.96,99.94,100.00,,
