Customer,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
FORD MOTOR - USA - 2013,"5,714,904.80","5,887,966.30","6,506,337.20","6,620,777.70","6,585,224.50","5,571,927.20","5,668,432.30","5,331,162.70","5,538,682.40","6,996,326.70","7,300,317.40","8,464,660.90"
FORD MOTOR - USA - 2014,"6,597,870.70","7,310,534.60","7,898,097.30","7,388,362.10","7,833,672.10","6,975,267.40","6,402,299.80","5,613,834.90","4,897,059.30","4,494,861.20","4,895,466.10","4,936,844.20"
FORD MOTOR - USA - 2015,"3,717,782.20","3,289,946.40","4,090,722.60","4,164,893.40","4,708,880.60","4,528,136.20","5,094,523.00","4,890,489.70","5,053,638.80","4,527,989.30", -   , -   
FORD MOTOR - BRAZIL - 2013,"1,462,229.30","1,285,294.80","1,373,305.80","1,444,482.60","1,648,700.60","2,108,421.50","1,317,054.40","2,150,195.00","1,453,418.20","946,134.60","1,649,345.70","1,941,719.30"
FORD MOTOR - BRAZIL - 2014,"922,928.50","1,055,937.00","2,281,686.90","1,245,723.90","1,482,482.20","1,900,020.60","1,025,758.00","1,247,793.10","3,155,824.80","1,764,750.70","1,495,836.30","1,790,857.00"
FORD MOTOR - BRAZIL - 2014,"1,481,510.40","3,268,513.30","1,472,048.40","1,886,384.50","1,912,986.90","1,088,127.50","1,389,035.90","1,566,348.30","-387,156.90","929,257.40", -   , -   
FORD MOTOR - CHINA - 2013,"1,108,078.80","392,249.30","334,410.00","333,421.00","371,522.70","451,109.10","765,555.10","390,282.70","381,427.90","732,071.20","291,708.20","681,975.70"
FORD MOTOR - CHINA - 2014,"988,662.20","515,000.10","164,271.60","46,204.30","275,600.80","284,189.80","423,260.50","462,040.80","496,736.70","550,574.00","4,487,594.90","1,885,766.40"
FORD MOTOR - CHINA - 2015,"1,074,488.30","1,650,775.40","592,112.00","1,098,332.60","795,929.90","830,069.80","1,133,892.20","740,960.10","1,045,188.90","866,419.40", -   , -   
FORD MOTOR - SPAIN - 2013,"88,719.60","156,078.10","126,651.20","132,049.10","134,336.60","111,426.10","166,544.40","182,652.40","222,376.30","155,206.80","122,729.40","120,214.00"
FORD MOTOR - SPAIN - 2014,"152,279.50","158,074.80","182,581.10","165,443.40","174,227.30","152,241.70","175,509.10","127,069.00","118,000.90","130,514.00","127,771.60","119,516.20"
FORD MOTOR - SPAIN - 2015,"147,947.00","155,263.50","189,537.00","144,519.40","184,240.00","191,306.70","198,968.00","175,045.90","170,816.30","177,277.90", -   , -   
FORD MOTOR - UK - 2013,"1,332,286.30","1,207,166.30","1,536,658.90","1,496,012.20","1,633,019.20","1,709,126.40","1,621,572.80","1,689,465.80","1,629,640.50","2,130,168.00","1,826,081.60","1,704,758.60"
FORD MOTOR - UK - 2014,"1,716,814.00","1,407,297.20","2,529,618.50","2,398,192.50","1,656,833.80","1,573,814.90","2,096,053.70","1,984,665.30","1,562,608.50","1,738,046.40","2,098,516.70","2,070,575.80"
FORD MOTOR - UK - 2015,"1,861,940.80","1,751,542.10","1,508,325.70","1,677,014.00","1,723,855.80","1,867,210.80","2,149,398.00","1,573,109.40","1,528,312.60","1,869,584.40", -   , -   
HEWLETT PACKARD - USA - 2013,"1,810,669.40","2,313,872.90","1,652,887.50","1,845,021.50","1,946,204.80","1,717,469.10","1,564,458.80","2,067,905.90","3,111,202.70","2,893,147.30","3,092,036.80","2,976,521.70"
HEWLETT PACKARD - USA - 2014,"1,644,649.20","1,732,721.40","1,644,530.60","1,493,117.50","1,300,379.30","1,418,150.70","1,425,554.70","1,434,985.80","1,283,963.70","1,454,950.70","1,574,490.40","2,293,581.90"
HEWLETT PACKARD - USA - 2015,"2,172,180.10","3,305,170.00","3,630,450.30","5,688,907.40","5,639,779.60","4,123,391.60","3,306,966.80","2,476,723.60","1,259,244.50","3,063,206.40", -   , -   
HEWLETT PACKARD - BRAZIL - 2013,"1,968,329.10","3,159,288.00","3,728,417.50","4,872,943.30","4,724,423.70","3,607,870.90","3,452,347.90","3,399,994.70","3,337,850.70","4,411,806.80","3,359,805.50","4,513,988.60"
HEWLETT PACKARD - BRAZIL - 2014,"3,213,847.20","4,257,538.80","3,552,212.10","3,702,772.90","3,756,281.40","3,391,749.30","3,178,340.90","3,693,267.40","3,029,287.60","2,844,929.50","2,202,328.80","2,241,449.50"
HEWLETT PACKARD - BRAZIL - 2015,"1,967,121.30","1,953,243.10","1,848,579.70","1,828,564.40","2,019,328.50","1,863,952.00","1,810,419.40","1,444,222.10","1,474,153.30","2,293,157.90", -   , -   
HEWLETT PACKARD - CHINA - 2013,"2,402,444.80","2,530,614.70","2,035,260.40","2,113,091.00","2,668,826.50","2,791,136.70","2,625,115.70","2,590,998.50","2,805,442.20","2,268,528.50","1,833,036.40","2,343,485.90"
HEWLETT PACKARD - CHINA - 2014,"2,633,452.80","3,170,613.50","2,832,564.30","2,102,339.30","2,284,815.50","2,288,696.70","1,939,342.90","2,229,915.40","2,262,071.50","2,075,774.50","2,444,538.90","2,680,183.40"
HEWLETT PACKARD - CHINA - 2015,"2,915,579.40","2,720,369.00","2,278,903.30","2,161,857.10","2,031,549.50","2,340,404.10","2,690,502.00","1,706,171.50","2,323,020.90","2,538,482.00", -   , -   
HEWLETT PACKARD - SPAIN - 2013, -   , -   ,"5,825.20","5,825.20","10,784.90","8,121.80","8,921.40","8,867.90","8,413.10","8,958.00","9,466.00","10,087.50"
HEWLETT PACKARD - SPAIN - 2014,"9,039.90","8,083.10","10,975.40","7,232.50","7,823.00","10,833.80","5,888.40","6,241.80","10,031.00","10,591.40","13,502.50","7,360.10"
